Lemma	Eng Gloss	POS	Level	Word source	Ex. ID	Form 	Analysis	Example Sentence	Translation	Reference	Topic(s)
раз	_	N.Masc.Inan	A1	LM, МН	2	раза	Gen.Sing	_	_	_	мера, время
раз	_	N.Masc.Inan	A1	LM, МН	3	разу	Gen.Sing	_	_	_	мера, время
жизнь	_	N.Fem.Inan	A1	MiP, LM, МН	1	жизни	Gen.Sing	_	_	_	время, люди
жизнь	_	N.Fem.Inan	A1	MiP, LM, МН	2	жизнь	Acc.Sing	_	_	_	время, люди
жизнь	_	N.Fem.Inan	A1	MiP, LM, МН	3	жизнью	Ins.Sing	_	_	_	время, люди
работа	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	1	работы	Gen.Sing	_	_	_	учеба/работа
работа	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	2	работу	Acc.Sing	_	_	_	учеба/работа
работа	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	3	работа	Nom.Sing	_	_	_	учеба/работа
видеть	_	V	A1	Golosa, MiP, LM, МН, Поехали	1	видел	Masc.Sing.Past	_	_	_	внутренний мир
видеть	_	V	A1	Golosa, MiP, LM, МН, Поехали	2	вижу	Sing.1.Pres/Fut	_	_	_	внутренний мир
видеть	_	V	A1	Golosa, MiP, LM, МН, Поехали	3	видеть	Inf	_	_	_	внутренний мир
день	_	N.Masc.Inan	A1	MiP, LM, МН	1	день	Acc.Sing	_	_	_	мера, время
день	_	N.Masc.Inan	A1	MiP, LM, МН	2	дня	Gen.Sing	_	_	_	мера, время
день	_	N.Masc.Inan	A1	MiP, LM, МН	3	дней	Gen.Plur	_	_	_	мера, время
ребенок	_	N.Masc.Anim	A1	LM, МН	1	детей	Gen.Plur	_	_	_	люди, здоровье
ребенок	_	N.Masc.Anim	A1	LM, МН	2	дети	Nom.Plur	_	_	_	люди, здоровье
ребенок	_	N.Masc.Anim	A1	LM, МН	3	ребёнка	Gen.Sing	_	_	_	люди, здоровье
страна	_	N.Fem.Inan	A1	Golosa, MiP, МН	1	страны	Gen.Sing	_	_	_	люди, путешествие
страна	_	N.Fem.Inan	A1	Golosa, MiP, МН	2	стране	Loc.Sing	_	_	_	люди, путешествие
страна	_	N.Fem.Inan	A1	Golosa, MiP, МН	3	стран	Gen.Plur	_	_	_	люди, путешествие
другой	_	N.Masc.Anim	A1	Golosa, MiP, LM, МН	1	других	Acc.Plur	_	_	_	_
другой	_	N.Masc.Anim	A1	Golosa, MiP, LM, МН	2	другому	Dat.Sing	_	_	_	_
другой	_	A	A1	Golosa, MiP, LM, МН	3	другом	Loc.Masc.Sing	_	_	_	_
мир	_	N.Masc.Inan	A1	LM, МН	1	мира	Gen.Sing	_	_	_	люди, путешествие
мир	_	N.Masc.Inan	A1	LM, МН	2	мире	Loc.Sing	_	_	_	люди, путешествие
мир	_	N.Masc.Inan	A1	LM, МН	3	мир	Nom.Sing	_	_	_	люди, путешествие
новый	_	A	A1	Golosa, MiP, LM, МН	1	новых	Gen.Plur	_	_	_	время
новый	_	A	A1	Golosa, MiP, LM, МН	2	новые	Nom.Plur	_	_	_	время
новый	_	A	A1	Golosa, MiP, LM, МН	3	новый	Nom.Masc.Sing	_	_	_	время
место	_	N.Neut.Inan	A1	Golosa, MiP, LM, МН	1	место	Acc.Sing	_	_	_	путешествие
место	_	N.Neut.Inan	A1	Golosa, MiP, LM, МН	2	месте	Loc.Sing	_	_	_	путешествие
место	_	N.Neut.Inan	A1	Golosa, MiP, LM, МН	3	места	Gen.Sing	_	_	_	путешествие
рука	_	N.Fem.Inan	A1	MiP, LM, МН, Кс	1	руку	Acc.Sing	_	_	_	люди, здоровье
рука	_	N.Fem.Inan	A1	MiP, LM, МН, Кс	2	руки	Acc.Plur	_	_	_	люди, здоровье
рука	_	N.Fem.Inan	A1	MiP, LM, МН, Кс	3	руках	Loc.Plur	_	_	_	люди, здоровье
встречать	_	V	A1	MiP, LM, МН	1	встречать	Inf	_	_	_	люди, общение
встречать	_	V	A1	MiP, LM, МН	2	встречал	Masc.Sing.Past	_	_	_	люди, общение
встречать	_	V	A1	MiP, LM, МН	3	встречали	Plur.Past	_	_	_	люди, общение
хороший	_	A	A1	Golosa, MiP, LM, МН	1	лучше	Comp	_	_	_	описание
хороший	_	A	A1	Golosa, MiP, LM, МН	2	хорошо	Neut.Sing	_	_	_	описание
хороший	_	A	A1	Golosa, MiP, LM, МН	3	хороший	Nom.Masc.Sing	_	_	_	описание
слово	_	N.Neut.Inan	A1	Golosa, MiP, LM, МН	1	слово	Nom.Sing	_	_	_	люди
слово	_	N.Neut.Inan	A1	Golosa, MiP, LM, МН	2	слова	Gen.Sing	_	_	_	люди
слово	_	N.Neut.Inan	A1	Golosa, MiP, LM, МН	3	слов	Gen.Plur	_	_	_	люди
дом	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	1	дома	Gen.Sing	_	_	_	люди, жилье
дом	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	2	доме	Loc.Sing	_	_	_	люди, жилье
дом	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	3	дом	Nom.Sing	_	_	_	люди, жилье
школа	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	1	школе	Loc.Sing	_	_	_	люди, учеба/работа
школа	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	2	школу	Acc.Sing	_	_	_	люди, учеба/работа
школа	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	3	школы	Gen.Sing	_	_	_	люди, учеба/работа
женщина	_	N.Fem.Anim	A1	Golosa, MiP, LM, МН	1	женщина	Nom.Sing	_	_	_	люди
женщина	_	N.Fem.Anim	A1	Golosa, MiP, LM, МН	2	женщины	Nom.Plur	_	_	_	люди
женщина	_	N.Fem.Anim	A1	Golosa, MiP, LM, МН	3	женщин	Gen.Plur	_	_	_	люди
нужный	_	A	A1	МН	1	нужно	Neut.Sing	_	_	_	внутренний мир, учеба/работа
нужный	_	A	A1	МН	2	нужна	Fem.Sing	_	_	_	внутренний мир, учеба/работа
нужный	_	A	A1	МН	3	нужны	Plur	_	_	_	внутренний мир, учеба/работа
проблема	_	N.Fem.Inan	A1	MiP, LM, МН	1	проблема	Nom.Sing	_	_	_	люди, здоровье
проблема	_	N.Fem.Inan	A1	MiP, LM, МН	2	проблем	Gen.Plur	_	_	_	люди, здоровье
проблема	_	N.Fem.Inan	A1	MiP, LM, МН	3	проблемы	Nom.Plur	_	_	_	люди, здоровье
друг	_	N.Masc.Anim	A1	Golosa, MiP, LM, МН	1	друг	Nom.Sing	_	_	_	люди
друг	_	N.Masc.Anim	A1	Golosa, MiP, LM, МН	2	друзья	Nom.Plur	_	_	_	люди
друг	_	N.Masc.Anim	A1	Golosa, MiP, LM, МН	3	друзей	Gen.Plur	_	_	_	люди
лицо	_	N.Neut.Inan	A1	МН	1	лицо	Acc.Sing	_	_	_	люди, здоровье, учеба/работа
лицо	_	N.Neut.Inan	A1	МН	2	лицом	Ins.Sing	_	_	_	люди, здоровье, учеба/работа
лицо	_	N.Neut.Inan	A1	МН	3	лица	Gen.Sing	_	_	_	люди, здоровье, учеба/работа
деньги	_	N.Inan	A1	Golosa, MiP, LM, МН	1	деньги	Acc.Plur	_	_	_	люди, учеба/работа
деньги	_	N.Inan	A1	Golosa, MiP, LM, МН	2	денег	Gen.Plur	_	_	_	люди, учеба/работа
деньги	_	N.Inan	A1	Golosa, MiP, LM, МН	3	деньгами	Ins.Plur	_	_	_	люди, учеба/работа
фильм	_	N.Masc.Inan	A1	MiP, LM, МН	1	фильм	Nom.Sing	_	_	_	свободное время
фильм	_	N.Masc.Inan	A1	MiP, LM, МН	2	фильма	Gen.Sing	_	_	_	свободное время
фильм	_	N.Masc.Inan	A1	MiP, LM, МН	3	фильме	Loc.Sing	_	_	_	свободное время
город	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	1	городе	Loc.Sing	_	_	_	люди, путешествие
город	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	2	города	Gen.Sing	_	_	_	люди, путешествие
город	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	3	город	Nom.Sing	_	_	_	люди, путешествие
часть	_	N.Fem.Inan	A1	MiP, МН	1	часть	Nom.Sing	_	_	_	мера
часть	_	N.Fem.Inan	A1	MiP, МН	2	части	Gen.Sing	_	_	_	мера
часть	_	N.Fem.Inan	A1	MiP, МН	3	частью	Ins.Sing	_	_	_	мера
глаз	_	N.Masc.Inan	A1	MiP, LM, МН	1	глаза	Acc.Plur	_	_	_	люди, здоровье
глаз	_	N.Masc.Inan	A1	MiP, LM, МН	2	глазами	Ins.Plur	_	_	_	люди, здоровье
глаз	_	N.Masc.Inan	A1	MiP, LM, МН	3	глазах	Loc.Plur	_	_	_	люди, здоровье
большой	_	A	A1	Golosa, MiP, LM, МН, Поехали	1	большая	Nom.Fem.Sing	_	_	_	мера
большой	_	A	A1	Golosa, MiP, LM, МН, Поехали	2	большой	Nom.Masc.Sing	_	_	_	мера
большой	_	A	A1	Golosa, MiP, LM, МН, Поехали	3	больше	Comp	_	_	_	мера
конец	_	N.Masc.Inan	A1	МН	1	конце	Loc.Sing	_	_	_	мера
конец	_	N.Masc.Inan	A1	МН	2	конца	Gen.Sing	_	_	_	мера
конец	_	N.Masc.Inan	A1	МН	3	концов	Gen.Plur	_	_	_	мера
голова	_	N.Fem.Inan	A1	MiP, LM, МН, Кс	1	голову	Acc.Sing	_	_	_	люди, здоровье
голова	_	N.Fem.Inan	A1	MiP, LM, МН, Кс	2	головой	Ins.Sing	_	_	_	люди, здоровье
голова	_	N.Fem.Inan	A1	MiP, LM, МН, Кс	3	голове	Loc.Sing	_	_	_	люди, здоровье
язык	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	1	языка	Gen.Sing	_	_	_	люди, путешествие, здоровье
язык	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	2	языке	Loc.Sing	_	_	_	люди, путешествие, здоровье
язык	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	3	язык	Nom.Sing	_	_	_	люди, путешествие, здоровье
форма	_	N.Fem.Inan	A1	LM, МН	1	форме	Loc.Sing	_	_	_	мера
форма	_	N.Fem.Inan	A1	LM, МН	2	форм	Gen.Plur	_	_	_	мера
форма	_	N.Fem.Inan	A1	LM, МН	3	форма	Nom.Sing	_	_	_	мера
число	_	N.Neut.Inan	A1	MiP, МН	1	числе	Loc.Sing	_	_	_	мера, время
число	_	N.Neut.Inan	A1	MiP, МН	2	число	Nom.Sing	_	_	_	мера, время
число	_	N.Neut.Inan	A1	MiP, МН	3	числа	Gen.Sing	_	_	_	мера, время
вода	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	1	воды	Gen.Sing	_	_	_	еда
вода	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	2	воду	Acc.Sing	_	_	_	еда
вода	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	3	водой	Ins.Sing	_	_	_	еда
говорить	_	V	A1	Golosa, MiP, LM, МН	1	говорит	Sing.3.Pres/Fut	_	_	_	люди, общение
говорить	_	V	A1	Golosa, MiP, LM, МН	2	говорить	Inf	_	_	_	люди, общение
говорить	_	V	A1	Golosa, MiP, LM, МН	3	говорю	Sing.1.Pres/Fut	_	_	_	люди, общение
гулять	_	V	A1	MiP, LM, МН	1	гулять	Inf	_	_	_	свободное время
гулять	_	V	A1	MiP, LM, МН	2	гуляют	Plur.3.Pres/Fut	_	_	_	свободное время
гулять	_	V	A1	MiP, LM, МН	3	гулял	Masc.Sing.Past	_	_	_	свободное время
группа	_	N.Fem.Inan	A1	Golosa, MiP, МН	1	группы	Gen.Sing	_	_	_	люди, мера
группа	_	N.Fem.Inan	A1	Golosa, MiP, МН	2	группа	Nom.Sing	_	_	_	люди, мера
группа	_	N.Fem.Inan	A1	Golosa, MiP, МН	3	групп	Gen.Plur	_	_	_	люди, мера
общий	_	A	A1	LM, МН	1	общего	Gen.Neut.Sing	_	_	_	люди
общий	_	A	A1	LM, МН	2	общем	Loc.Neut.Sing	_	_	_	люди
общий	_	A	A1	LM, МН	3	общей	Gen.Fem.Sing	_	_	_	люди
история	_	N.Fem.Inan	A1	Golosa, MiP, МН	1	история	Nom.Sing	_	_	_	время, учеба/работа
история	_	N.Fem.Inan	A1	Golosa, MiP, МН	2	истории	Gen.Sing	_	_	_	время, учеба/работа
история	_	N.Fem.Inan	A1	Golosa, MiP, МН	3	историю	Acc.Sing	_	_	_	время, учеба/работа
давать	_	V	A1	MiP, LM, МН	1	даёт	Sing.3.Pres/Fut	_	_	_	общение, магазин
давать	_	V	A1	MiP, LM, МН	2	дают	Plur.3.Pres/Fut	_	_	_	общение, магазин
давать	_	V	A1	MiP, LM, МН	3	давать	Inf	_	_	_	общение, магазин
программа	_	N.Fem.Inan	A1	MiP, LM, МН	1	программы	Gen.Sing	_	_	_	учеба/работа, свободное время
программа	_	N.Fem.Inan	A1	MiP, LM, МН	2	программа	Nom.Sing	_	_	_	учеба/работа, свободное время
программа	_	N.Fem.Inan	A1	MiP, LM, МН	3	программ	Gen.Plur	_	_	_	учеба/работа, свободное время
дарить	_	V	A1	Golosa, MiP, LM, МН	1	дарить	Inf	_	_	_	люди
дарить	_	V	A1	Golosa, MiP, LM, МН	2	дарит	Sing.3.Pres/Fut	_	_	_	люди
дарить	_	V	A1	Golosa, MiP, LM, МН	3	дарят	Plur.3.Pres/Fut	_	_	_	люди
российский	_	A	A1	Golosa, MiP, LM, МН	1	российской	Gen.Fem.Sing	_	_	_	люди, путешествие, политика
российский	_	A	A1	Golosa, MiP, LM, МН	2	российских	Gen.Plur	_	_	_	люди, путешествие, политика
российский	_	A	A1	Golosa, MiP, LM, МН	3	российского	Gen.Masc.Sing	_	_	_	люди, путешествие, политика
час	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	1	часов	Gen.Plur	_	_	_	мера, время
час	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	2	часа	Gen.Sing	_	_	_	мера, время
час	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	3	час	Acc.Sing	_	_	_	мера, время
русский	_	A	A1	LM, МН	1	русской	Gen.Fem.Sing	_	_	_	люди, путешествие, политика
русский	_	A	A1	LM, МН	2	русского	Gen.Masc.Sing	_	_	_	люди, путешествие, политика
русский	_	A	A1	LM, МН	3	русском	Loc.Masc.Sing	_	_	_	люди, путешествие, политика
мужчина	_	N.Masc.Anim	A1	Golosa, MiP, LM, МН	1	мужчина	Nom.Sing	_	_	_	люди
мужчина	_	N.Masc.Anim	A1	Golosa, MiP, LM, МН	2	мужчин	Gen.Plur	_	_	_	люди
мужчина	_	N.Masc.Anim	A1	Golosa, MiP, LM, МН	3	муж	Nom.Sing	_	_	_	люди
книга	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	1	книгу	Acc.Sing	_	_	_	учеба/работа, свободное время
книга	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	2	книга	Nom.Sing	_	_	_	учеба/работа, свободное время
книга	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	3	книге	Loc.Sing	_	_	_	учеба/работа, свободное время
высокий	_	A	A1	Golosa, MiP, МН	1	выше	Comp	_	_	_	мера
высокий	_	A	A1	Golosa, MiP, МН	2	высокий	Nom.Masc.Sing	_	_	_	мера
высокий	_	A	A1	Golosa, MiP, МН	3	высокой	Ins.Fem.Sing	_	_	_	мера
известный	_	A	A1	MiP, МН	1	известно	Neut.Sing	_	_	_	люди
известный	_	A	A1	MiP, МН	2	известных	Gen.Plur	_	_	_	люди
известный	_	A	A1	MiP, МН	3	известные	Nom.Plur	_	_	_	люди
нога	_	N.Fem.Inan	A1	MiP, МН	1	ноги	Acc.Plur	_	_	_	люди, здоровье
нога	_	N.Fem.Inan	A1	MiP, МН	2	ногами	Ins.Plur	_	_	_	люди, здоровье
нога	_	N.Fem.Inan	A1	MiP, МН	3	ногу	Acc.Sing	_	_	_	люди, здоровье
делать	_	V	A1	Golosa, MiP, LM, МН	1	делать	Inf	_	_	_	свободное время, учеба/работа
делать	_	V	A1	Golosa, MiP, LM, МН	2	делает	Sing.3.Pres/Fut	_	_	_	свободное время, учеба/работа
делать	_	V	A1	Golosa, MiP, LM, МН	3	делают	Plur.3.Pres/Fut	_	_	_	свободное время, учеба/работа
думать	_	V	A1	Golosa, MiP, LM, МН	1	думаю	Sing.1.Pres/Fut	_	_	_	внутренний мир, учеба/работа
думать	_	V	A1	Golosa, MiP, LM, МН	2	думал	Masc.Sing.Past	_	_	_	внутренний мир, учеба/работа
думать	_	V	A1	Golosa, MiP, LM, МН	3	думать	Inf	_	_	_	внутренний мир, учеба/работа
образование	_	N.Neut.Inan	A1	Golosa, MiP, МН	1	образования	Gen.Sing	_	_	_	учеба/работа
образование	_	N.Neut.Inan	A1	Golosa, MiP, МН	2	образование	Acc.Sing	_	_	_	учеба/работа
образование	_	N.Neut.Inan	A1	Golosa, MiP, МН	3	образованием	Ins.Sing	_	_	_	учеба/работа
семья	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	1	семьи	Gen.Sing	_	_	_	люди
семья	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	2	семье	Loc.Sing	_	_	_	люди
семья	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	3	семья	Nom.Sing	_	_	_	люди
качество	_	N.Neut.Inan	A1	Golosa, MiP, МН	1	качестве	Loc.Sing	_	_	_	_
качество	_	N.Neut.Inan	A1	Golosa, MiP, МН	2	качества	Gen.Sing	_	_	_	_
качество	_	N.Neut.Inan	A1	Golosa, MiP, МН	3	качество	Nom.Sing	_	_	_	_
рубль	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	1	рублей	Gen.Plur	_	_	_	мера, учеба/работа
рубль	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	2	рубля	Gen.Sing	_	_	_	мера, учеба/работа
рубль	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	3	руб	Gen.Plur	_	_	_	мера, учеба/работа
ездить	_	V	A1	Golosa, MiP, МН, Кс	1	ездил	Masc.Sing.Past	_	_	_	путешествие
ездить	_	V	A1	Golosa, MiP, МН, Кс	2	ездить	Inf	_	_	_	путешествие
ездить	_	V	A1	Golosa, MiP, МН, Кс	3	ездили	Plur.Past	_	_	_	путешествие
квартира	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	1	квартире	Loc.Sing	_	_	_	люди, жилье
квартира	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	2	квартиру	Acc.Sing	_	_	_	люди, жилье
квартира	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	3	квартира	Nom.Sing	_	_	_	люди, жилье
век	_	N.Masc.Inan	A1	MiP, МН, Поехали	1	века	Gen.Sing	_	_	_	мера, время
век	_	N.Masc.Inan	A1	MiP, МН, Поехали	2	в	Gen.Sing	_	_	_	мера, время
век	_	N.Masc.Inan	A1	MiP, МН, Поехали	3	веков	Gen.Plur	_	_	_	мера, время
страница	_	N.Fem.Inan	A1	MiP, МН	1	с	Nom.Sing	_	_	_	мера, учеба/работа
страница	_	N.Fem.Inan	A1	MiP, МН	2	страниц	Gen.Plur	_	_	_	мера, учеба/работа
страница	_	N.Fem.Inan	A1	MiP, МН	3	страницах	Loc.Plur	_	_	_	мера, учеба/работа
ехать	_	V	A1	Golosa, MiP, LM, МН, Кс	1	ехать	Inf	_	_	_	путешествие
ехать	_	V	A1	Golosa, MiP, LM, МН, Кс	2	едет	Sing.3.Pres/Fut	_	_	_	путешествие
ехать	_	V	A1	Golosa, MiP, LM, МН, Кс	3	едем	Plur.1.Pres/Fut	_	_	_	путешествие
ждать	_	V	A1	MiP, LM, МН	1	ждёт	Sing.3.Pres/Fut	_	_	_	люди, время
ждать	_	V	A1	MiP, LM, МН	2	ждать	Inf	_	_	_	люди, время
ждать	_	V	A1	MiP, LM, МН	3	ждали	Plur.Past	_	_	_	люди, время
класс	_	N.Masc.Inan	A1	Golosa, MiP, МН	1	класса	Gen.Sing	_	_	_	люди, учеба/работа
класс	_	N.Masc.Inan	A1	Golosa, MiP, МН	2	класс	Nom.Sing	_	_	_	люди, учеба/работа
класс	_	N.Masc.Inan	A1	Golosa, MiP, МН	3	классе	Loc.Sing	_	_	_	люди, учеба/работа
свет	_	N.Masc.Inan	A1	МН	1	света	Gen.Sing	_	_	_	люди, путешествие
свет	_	N.Masc.Inan	A1	МН	2	свете	Loc.Sing	_	_	_	люди, путешествие
свет	_	N.Masc.Inan	A1	МН	3	свет	Nom.Sing	_	_	_	люди, путешествие
желать	_	V	A1	LM, МН	1	желаю	Sing.1.Pres/Fut	_	_	_	внутренний мир
желать	_	V	A1	LM, МН	2	желает	Sing.3.Pres/Fut	_	_	_	внутренний мир
желать	_	V	A1	LM, МН	3	желая	Pres/Fut	_	_	_	внутренний мир
ответ	_	N.Masc.Inan	A1	МН	1	ответ	Acc.Sing	_	_	_	люди
ответ	_	N.Masc.Inan	A1	МН	2	ответов	Gen.Plur	_	_	_	люди
ответ	_	N.Masc.Inan	A1	МН	3	ответа	Gen.Sing	_	_	_	люди
разный	_	A	A1	МН	1	разных	Gen.Plur	_	_	_	_
разный	_	A	A1	МН	2	разные	Nom.Plur	_	_	_	_
разный	_	A	A1	МН	3	разными	Ins.Plur	_	_	_	_
жить	_	V	A1	Golosa, MiP, LM, МН	1	жить	Inf	_	_	_	время, люди
жить	_	V	A1	Golosa, MiP, LM, МН	2	живёт	Sing.3.Pres/Fut	_	_	_	время, люди
жить	_	V	A1	Golosa, MiP, LM, МН	3	жили	Plur.Past	_	_	_	время, люди
интересный	_	A	A1	Golosa, MiP, LM, МН	1	интересно	Neut.Sing	_	_	_	описание
интересный	_	A	A1	Golosa, MiP, LM, МН	2	интересная	Nom.Fem.Sing	_	_	_	описание
интересный	_	A	A1	Golosa, MiP, LM, МН	3	интересное	Nom.Neut.Sing	_	_	_	описание
завтракать	_	V	A1	Golosa, MiP, LM, МН	1	завтракать	Inf	_	_	_	еда
завтракать	_	V	A1	Golosa, MiP, LM, МН	2	завтракал	Masc.Sing.Past	_	_	_	еда
завтракать	_	V	A1	Golosa, MiP, LM, МН	3	завтракали	Plur.Past	_	_	_	еда
месяц	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	1	месяц	Acc.Sing	_	_	_	мера, время
месяц	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	2	месяца	Gen.Sing	_	_	_	мера, время
месяц	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	3	месяцев	Gen.Plur	_	_	_	мера, время
следующий	_	A	A1	MiP, LM, МН	1	следующий	Inan.Acc.Masc.Sing	_	_	_	мера, время
следующий	_	A	A1	MiP, LM, МН	2	следующим	Ins.Masc.Sing	_	_	_	мера, время
следующий	_	A	A1	MiP, LM, МН	3	следующем	Loc.Masc.Sing	_	_	_	мера, время
звонить	_	V	A1	MiP, LM, МН	1	звонил	Masc.Sing.Past	_	_	_	люди, общение
звонить	_	V	A1	MiP, LM, МН	2	звонить	Inf	_	_	_	люди, общение
звонить	_	V	A1	MiP, LM, МН	3	звонит	Sing.3.Pres/Fut	_	_	_	люди, общение
минута	_	N.Fem.Inan	A1	MiP, LM, МН	1	минут	Gen.Plur	_	_	_	мера, время
минута	_	N.Fem.Inan	A1	MiP, LM, МН	2	минуту	Acc.Sing	_	_	_	мера, время
минута	_	N.Fem.Inan	A1	MiP, LM, МН	3	минуты	Gen.Sing	_	_	_	мера, время
вечер	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН, Поехали	1	вечером	Ins.Sing	_	_	_	мера, время
вечер	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН, Поехали	2	вечера	Gen.Sing	_	_	_	мера, время
вечер	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН, Поехали	3	вечер	Acc.Sing	_	_	_	мера, время
имя	_	N.Neut.Inan	A1	Golosa, MiP, МН	1	имя	Acc.Sing	_	_	_	люди
имя	_	N.Neut.Inan	A1	Golosa, MiP, МН	2	имени	Gen.Sing	_	_	_	люди
имя	_	N.Neut.Inan	A1	Golosa, MiP, МН	3	именем	Ins.Sing	_	_	_	люди
молодой	_	A	A1	Golosa, MiP, LM, МН	1	молодой	Nom.Masc.Sing	_	_	_	люди, мера, время
молодой	_	A	A1	Golosa, MiP, LM, МН	2	молодых	Gen.Plur	_	_	_	люди, мера, время
молодой	_	A	A1	Golosa, MiP, LM, МН	3	молодые	Nom.Plur	_	_	_	люди, мера, время
здравствовать	_	V	A1	МН	1	здравствуйте	Imper.Plur.2	_	_	_	люди, общение
здравствовать	_	V	A1	МН	2	здравствует	Sing.3.Pres/Fut	_	_	_	люди, общение
здравствовать	_	V	A1	МН	3	здравствуй	Imper.Sing.2	_	_	_	люди, общение
событие	_	N.Neut.Inan	A1	МН	1	событий	Gen.Plur	_	_	_	люди, время
событие	_	N.Neut.Inan	A1	МН	2	события	Nom.Plur	_	_	_	люди, время
событие	_	N.Neut.Inan	A1	МН	3	событие	Nom.Sing	_	_	_	люди, время
