Lemma	Eng Gloss	POS	Level	Word source	Ex. ID	Form 	Analysis	Example Sentence	Translation	Reference	Topic(s)
академик	_	N.Masc.Anim	B2	LM	2	академика	Gen.Sing	_	_	_	_
академик	_	N.Masc.Anim	B2	LM	3	академиком	Ins.Sing	_	_	_	_
акварель	_	N.Fem.Inan	B2	LM	1	акварелью	Ins.Sing	_	_	_	_
аккуратный	_	A	B2	LM, МН	1	аккуратным	Ins.Masc.Sing	_	_	_	_
аккуратный	_	A	B2	LM, МН	2	поаккуратнее	Comp	_	_	_	_
аккуратный	_	A	B2	LM, МН	3	аккуратные	Acc.Plur	_	_	_	_
акт	_	N.Masc.Inan	B2	LM	1	акт	Nom.Sing	_	_	_	_
акт	_	N.Masc.Inan	B2	LM	2	акта	Gen.Sing	_	_	_	_
акт	_	N.Masc.Inan	B2	LM	3	актов	Gen.Plur	_	_	_	_
актер	_	N.Masc.Anim	B2	LM	1	актёр	Nom.Sing	_	_	_	_
актер	_	N.Masc.Anim	B2	LM	2	актеры	Nom.Plur	_	_	_	_
актер	_	N.Masc.Anim	B2	LM	3	актеров	Gen.Plur	_	_	_	_
актив	_	N.Masc.Inan	B2	LM	1	активов	Gen.Plur	_	_	_	_
актив	_	N.Masc.Inan	B2	LM	2	активы	Nom.Plur	_	_	_	_
актив	_	N.Masc.Inan	B2	LM	3	активами	Ins.Plur	_	_	_	_
актриса	_	N.Fem.Anim	B2	LM	1	актриса	Nom.Sing	_	_	_	_
актриса	_	N.Fem.Anim	B2	LM	2	актрису	Acc.Sing	_	_	_	_
актриса	_	N.Fem.Anim	B2	LM	3	актрисы	Gen.Sing	_	_	_	_
актуальный	_	A	B2	LM	1	актуальна	Fem.Sing	_	_	_	_
актуальный	_	A	B2	LM	2	актуально	Neut.Sing	_	_	_	_
актуальный	_	A	B2	LM	3	актуальных	Gen.Plur	_	_	_	_
акцент	_	N.Masc.Inan	B2	LM	1	акцент	Acc.Sing	_	_	_	_
акцент	_	N.Masc.Inan	B2	LM	2	акцентом	Ins.Sing	_	_	_	_
акцент	_	N.Masc.Inan	B2	LM	3	акцента	Gen.Sing	_	_	_	_
акционерный	_	A	B2	LM	1	акционерных	Gen.Plur	_	_	_	_
акционерный	_	A	B2	LM	2	акционерное	Inan.Acc.Neut.Sing	_	_	_	_
акционерный	_	A	B2	LM	3	акционерного	Gen.Neut.Sing	_	_	_	_
акция	_	N.Fem.Inan	B2	LM	1	акций	Gen.Plur	_	_	_	_
акция	_	N.Fem.Inan	B2	LM	2	акция	Nom.Sing	_	_	_	_
акция	_	N.Fem.Inan	B2	LM	3	акции	Nom.Plur	_	_	_	_
албанец	_	N.Masc.Anim	B2	LM	1	албанцами	Ins.Plur	_	_	_	_
албанец	_	N.Masc.Anim	B2	LM	2	албанцы	Nom.Plur	_	_	_	_
албанец	_	N.Masc.Anim	B2	LM	3	албанцев	Gen.Plur	_	_	_	_
алкоголь	_	N.Masc.Inan	B2	LM	1	алкоголя	Gen.Sing	_	_	_	_
алкоголь	_	N.Masc.Inan	B2	LM	2	алкоголь	Acc.Sing	_	_	_	_
алкоголь	_	N.Masc.Inan	B2	LM	3	алкоголю	Dat.Sing	_	_	_	_
аллергия	_	N.Fem.Inan	B2	Golosa, LM, Поехали	1	аллергии	Gen.Sing	_	_	_	_
аллергия	_	N.Fem.Inan	B2	Golosa, LM, Поехали	2	аллергия	Nom.Sing	_	_	_	_
аллергия	_	N.Fem.Inan	B2	Golosa, LM, Поехали	3	аллергией	Ins.Sing	_	_	_	_
аллея	_	N.Fem.Inan	B2	LM	1	аллеях	Loc.Plur	_	_	_	_
аллея	_	N.Fem.Inan	B2	LM	2	аллеями	Ins.Plur	_	_	_	_
аллея	_	N.Fem.Inan	B2	LM	3	аллеям	Dat.Plur	_	_	_	_
альпинист	_	N.Masc.Anim	B2	LM	1	альпинисты	Nom.Plur	_	_	_	_
альпинист	_	N.Masc.Anim	B2	LM	2	альпиниста	Acc.Sing	_	_	_	_
альпинист	_	N.Masc.Anim	B2	LM	3	альпинистами	Ins.Plur	_	_	_	_
ананас	_	N.Masc.Inan	B2	LM	1	ананасы	Acc.Plur	_	_	_	_
ананас	_	N.Masc.Inan	B2	LM	2	ананас	Acc.Sing	_	_	_	_
ананас	_	N.Masc.Inan	B2	LM	3	ананасов	Gen.Plur	_	_	_	_
анатомия	_	N.Fem.Inan	B2	LM	1	анатомию	Acc.Sing	_	_	_	_
анатомия	_	N.Fem.Inan	B2	LM	2	анатомии	Gen.Sing	_	_	_	_
ангел	_	N.Masc.Anim	B2	LM	1	ангелы	Nom.Plur	_	_	_	_
ангел	_	N.Masc.Anim	B2	LM	2	ангел	Nom.Sing	_	_	_	_
ангел	_	N.Masc.Anim	B2	LM	3	ангелом	Ins.Sing	_	_	_	_
анекдот	_	N.Masc.Inan	B2	LM	1	анекдот	Nom.Sing	_	_	_	_
анекдот	_	N.Masc.Inan	B2	LM	2	анекдоты	Nom.Plur	_	_	_	_
анекдот	_	N.Masc.Inan	B2	LM	3	анекдотов	Gen.Plur	_	_	_	_
антибиотик	_	N.Masc.Inan	B2	Golosa, LM	1	антибиотиков	Gen.Plur	_	_	_	_
антибиотик	_	N.Masc.Inan	B2	Golosa, LM	2	антибиотикам	Dat.Plur	_	_	_	_
антисанитарный	_	A	B2	LM	1	антисанитарных	Loc.Plur	_	_	_	_
антисемитизм	_	N.Masc.Inan	B2	LM	1	антисемитизм	Acc.Sing	_	_	_	_
античный	_	A	B2	LM	1	античных	Gen.Plur	_	_	_	_
античный	_	A	B2	LM	2	античной	Gen.Fem.Sing	_	_	_	_
античный	_	A	B2	LM	3	античная	Nom.Fem.Sing	_	_	_	_
антракт	_	N.Masc.Inan	B2	LM, МН	1	антракте	Loc.Sing	_	_	_	_
аплодировать	_	V	B2	LM	1	аплодировать	Inf	_	_	_	_
аплодировать	_	V	B2	LM	2	аплодировали	Plur.Past	_	_	_	_
аплодировать	_	V	B2	LM	3	аплодируя	Pres/Fut	_	_	_	_
аплодисменты	_	N.Inan	B2	LM	1	аплодисменты	Nom.Plur	_	_	_	_
аплодисменты	_	N.Inan	B2	LM	2	аплодисментами	Ins.Plur	_	_	_	_
аплодисменты	_	N.Inan	B2	LM	3	аплодисментов	Gen.Plur	_	_	_	_
араб	_	N.Masc.Anim	B2	Golosa, LM	1	арабов	Gen.Plur	_	_	_	_
араб	_	N.Masc.Anim	B2	Golosa, LM	2	арабы	Nom.Plur	_	_	_	_
араб	_	N.Masc.Anim	B2	Golosa, LM	3	арабами	Ins.Plur	_	_	_	_
арбуз	_	N.Masc.Inan	B2	MiP, LM, Поехали	1	арбузы	Acc.Plur	_	_	_	_
арбуз	_	N.Masc.Inan	B2	MiP, LM, Поехали	2	арбуз	Nom.Sing	_	_	_	_
аргентинец	_	N.Masc.Anim	B2	LM	1	аргентинцу	Dat.Sing	_	_	_	_
аргентинец	_	N.Masc.Anim	B2	LM	2	аргентинец	Nom.Sing	_	_	_	_
аргумент	_	N.Masc.Inan	B2	LM	1	аргументы	Nom.Plur	_	_	_	_
аргумент	_	N.Masc.Inan	B2	LM	2	аргументов	Gen.Plur	_	_	_	_
аргумент	_	N.Masc.Inan	B2	LM	3	аргумент	Nom.Sing	_	_	_	_
аргументировать	_	V	B2	LM	1	аргументировать	Inf	_	_	_	_
аргументировать	_	A	B2	LM	2	аргументированно	Neut.Sing	_	_	_	_
аренда	_	N.Fem.Inan	B2	LM	1	аренду	Acc.Sing	_	_	_	_
аренда	_	N.Fem.Inan	B2	LM	2	аренды	Gen.Sing	_	_	_	_
арендовать	_	V	B2	LM	1	арендуют	Plur.3.Pres/Fut	_	_	_	_
арендовать	_	A	B2	LM	2	арендуемых	Gen.Plur	_	_	_	_
арендовать	_	V	B2	LM	3	арендуем	Plur.1.Pres/Fut	_	_	_	_
арест	_	N.Masc.Inan	B2	LM	1	ареста	Gen.Sing	_	_	_	_
арест	_	N.Masc.Inan	B2	LM	2	арест	Acc.Sing	_	_	_	_
арест	_	N.Masc.Inan	B2	LM	3	арестом	Ins.Sing	_	_	_	_
арестованный	_	N.Masc.Anim	B2	LM	1	арестованных	Acc.Plur	_	_	_	_
арестованный	_	N.Masc.Anim	B2	LM	2	арестованным	Dat.Plur	_	_	_	_
арестовывать	_	V	B2	LM	1	арестовывать	Inf	_	_	_	_
арестовывать	_	V	B2	LM	2	арестовывали	Plur.Past	_	_	_	_
армянин	_	N.Masc.Anim	B2	LM, МН	1	армяне	Nom.Plur	_	_	_	_
армянин	_	N.Masc.Anim	B2	LM, МН	2	армян	Gen.Plur	_	_	_	_
армянин	_	N.Masc.Anim	B2	LM, МН	3	армянами	Ins.Plur	_	_	_	_
аромат	_	N.Masc.Inan	B2	LM	1	аромат	Nom.Sing	_	_	_	_
аромат	_	N.Masc.Inan	B2	LM	2	ароматом	Ins.Sing	_	_	_	_
аромат	_	N.Masc.Inan	B2	LM	3	ароматы	Nom.Plur	_	_	_	_
ароматный	_	A	B2	LM	1	ароматных	Gen.Plur	_	_	_	_
ароматный	_	A	B2	LM	2	ароматными	Ins.Plur	_	_	_	_
ароматный	_	A	B2	LM	3	ароматное	Inan.Acc.Neut.Sing	_	_	_	_
археолог	_	N.Masc.Anim	B2	LM	1	археологи	Nom.Plur	_	_	_	_
археолог	_	N.Masc.Anim	B2	LM	2	археологами	Ins.Plur	_	_	_	_
археолог	_	N.Masc.Anim	B2	LM	3	археологов	Gen.Plur	_	_	_	_
археология	_	N.Fem.Inan	B2	LM	1	археологии	Gen.Sing	_	_	_	_
археология	_	N.Fem.Inan	B2	LM	2	археология	Nom.Sing	_	_	_	_
атеизм	_	N.Masc.Inan	B2	LM	1	атеизме	Loc.Sing	_	_	_	_
атеизм	_	N.Masc.Inan	B2	LM	2	атеизм	Acc.Sing	_	_	_	_
аукцион	_	N.Masc.Inan	B2	LM	1	аукционе	Loc.Sing	_	_	_	_
аукцион	_	N.Masc.Inan	B2	LM	2	аукциона	Gen.Sing	_	_	_	_
аукцион	_	N.Masc.Inan	B2	LM	3	аукционы	Nom.Plur	_	_	_	_
афганец	_	N.Masc.Anim	B2	LM	1	афганцы	Nom.Plur	_	_	_	_
афганец	_	N.Masc.Anim	B2	LM	2	афганец	Nom.Sing	_	_	_	_
африканец	_	N.Masc.Anim	B2	LM	1	африканцы	Nom.Plur	_	_	_	_
африканский	_	A	B2	LM	1	африканских	Gen.Plur	_	_	_	_
африканский	_	A	B2	LM	2	африканское	Nom.Neut.Sing	_	_	_	_
африканский	_	A	B2	LM	3	африканского	Gen.Masc.Sing	_	_	_	_
база	_	N.Fem.Inan	B2	LM	1	базе	Loc.Sing	_	_	_	_
база	_	N.Fem.Inan	B2	LM	2	базы	Gen.Sing	_	_	_	_
база	_	N.Fem.Inan	B2	LM	3	базу	Acc.Sing	_	_	_	_
базар	_	N.Masc.Inan	B2	LM	1	базаре	Loc.Sing	_	_	_	_
базар	_	N.Masc.Inan	B2	LM	2	базара	Gen.Sing	_	_	_	_
базар	_	N.Masc.Inan	B2	LM	3	базар	Acc.Sing	_	_	_	_
бакалавр	_	N.Masc.Anim	B2	LM	1	бакалавра	Gen.Sing	_	_	_	_
баклажан	_	N.Masc.Inan	B2	LM, Поехали	1	баклажаны	Acc.Plur	_	_	_	_
бал	_	N.Masc.Inan	B2	LM	1	бал	Acc.Sing	_	_	_	_
бал	_	N.Masc.Inan	B2	LM	2	балу	Loc.Sing	_	_	_	_
бал	_	N.Masc.Inan	B2	LM	3	балом	Ins.Sing	_	_	_	_
баловать	_	V	B2	LM	1	балует	Sing.3.Pres/Fut	_	_	_	_
баловать	_	V	B2	LM	2	балуют	Plur.3.Pres/Fut	_	_	_	_
баловать	_	V	B2	LM	3	баловать	Inf	_	_	_	_
баловаться	_	V	B2	LM	1	балуясь	Pres/Fut	_	_	_	_
баловаться	_	V	B2	LM	2	балуются	Plur.3.Pres/Fut	_	_	_	_
баловаться	_	V	B2	LM	3	балуйтесь	Imper.Plur.2	_	_	_	_
банкет	_	N.Masc.Inan	B2	LM	1	банкете	Loc.Sing	_	_	_	_
банкет	_	N.Masc.Inan	B2	LM	2	банкетах	Loc.Plur	_	_	_	_
банкет	_	N.Masc.Inan	B2	LM	3	банкет	Acc.Sing	_	_	_	_
банкир	_	N.Masc.Anim	B2	LM	1	банкиры	Nom.Plur	_	_	_	_
банкир	_	N.Masc.Anim	B2	LM	2	банкирам	Dat.Plur	_	_	_	_
банкир	_	N.Masc.Anim	B2	LM	3	банкира	Gen.Sing	_	_	_	_
банкомат	_	N.Masc.Inan	B2	LM	1	банкоматов	Gen.Plur	_	_	_	_
банкрот	_	N.Masc.Anim	B2	LM	1	банкрот	Nom.Sing	_	_	_	_
банкрот	_	N.Masc.Anim	B2	LM	2	банкротами	Ins.Plur	_	_	_	_
банкрот	_	N.Masc.Anim	B2	LM	3	банкрота	Acc.Sing	_	_	_	_
баня	_	N.Fem.Inan	B2	MiP, LM, Поехали	1	бане	Loc.Sing	_	_	_	_
баня	_	N.Fem.Inan	B2	MiP, LM, Поехали	2	баню	Acc.Sing	_	_	_	_
баня	_	N.Fem.Inan	B2	MiP, LM, Поехали	3	баня	Nom.Sing	_	_	_	_
бар	_	N.Masc.Inan	B2	MiP, LM	1	баре	Loc.Sing	_	_	_	_
бар	_	N.Masc.Inan	B2	MiP, LM	2	барах	Loc.Plur	_	_	_	_
бар	_	N.Masc.Inan	B2	MiP, LM	3	баров	Gen.Plur	_	_	_	_
барабан	_	N.Masc.Inan	B2	Golosa, LM, МН	1	барабан	Nom.Sing	_	_	_	_
барабан	_	N.Masc.Inan	B2	Golosa, LM, МН	2	барабаны	Nom.Plur	_	_	_	_
барабан	_	N.Masc.Inan	B2	Golosa, LM, МН	3	барабану	Dat.Sing	_	_	_	_
баран	_	N.Masc.Anim	B2	LM	1	баранов	Gen.Plur	_	_	_	_
баран	_	N.Masc.Anim	B2	LM	2	барана	Gen.Sing	_	_	_	_
баран	_	N.Masc.Anim	B2	LM	3	баран	Nom.Sing	_	_	_	_
баранина	_	N.Fem.Inan	B2	LM, Поехали	1	баранины	Gen.Sing	_	_	_	_
баранина	_	N.Fem.Inan	B2	LM, Поехали	2	баранина	Nom.Sing	_	_	_	_
бас	_	N.Masc.Anim	B2	LM	1	бас	Nom.Sing	_	_	_	_
бас	_	N.Masc.Inan	B2	LM	2	басом	Ins.Sing	_	_	_	_
баскетболистка	_	N.Fem.Anim	B2	LM	1	баскетболистка	Nom.Sing	_	_	_	_
бастовать	_	V	B2	LM	1	бастуют	Plur.3.Pres/Fut	_	_	_	_
бегун	_	N.Masc.Anim	B2	LM	1	бегуны	Nom.Plur	_	_	_	_
бегун	_	N.Masc.Anim	B2	LM	2	бегун	Nom.Sing	_	_	_	_
беда	_	N.Fem.Inan	B2	LM	1	беда	Nom.Sing	_	_	_	_
беда	_	N.Fem.Inan	B2	LM	2	беду	Acc.Sing	_	_	_	_
беда	_	N.Fem.Inan	B2	LM	3	беды	Gen.Sing	_	_	_	_
бедность	_	N.Fem.Inan	B2	LM	1	бедности	Gen.Sing	_	_	_	_
бедность	_	N.Fem.Inan	B2	LM	2	бедностью	Ins.Sing	_	_	_	_
бедность	_	N.Fem.Inan	B2	LM	3	бедность	Nom.Sing	_	_	_	_
бедствие	_	N.Neut.Inan	B2	LM	1	бедствий	Gen.Plur	_	_	_	_
бедствие	_	N.Neut.Inan	B2	LM	2	бедствие	Acc.Sing	_	_	_	_
бедствие	_	N.Neut.Inan	B2	LM	3	бедствиями	Ins.Plur	_	_	_	_
бежевый	_	A	B2	Golosa, LM	1	бежевом	Loc.Masc.Sing	_	_	_	_
беженец	_	N.Masc.Anim	B2	LM	1	беженцы	Nom.Plur	_	_	_	_
беженец	_	N.Masc.Anim	B2	LM	2	беженцев	Gen.Plur	_	_	_	_
беженец	_	N.Masc.Anim	B2	LM	3	беженца	Gen.Sing	_	_	_	_
безвкусный	_	A	B2	LM	1	безвкусными	Ins.Plur	_	_	_	_
безвкусный	_	A	B2	LM	2	безвкусный	Nom.Masc.Sing	_	_	_	_
безвкусный	_	A	B2	LM	3	безвкусную	Acc.Fem.Sing	_	_	_	_
безвыходный	_	A	B2	LM	1	безвыходных	Gen.Plur	_	_	_	_
безвыходный	_	A	B2	LM	2	безвыходную	Acc.Fem.Sing	_	_	_	_
безвыходный	_	A	B2	LM	3	безвыходном	Loc.Neut.Sing	_	_	_	_
безграмотный	_	A	B2	LM	1	безграмотным	Ins.Neut.Sing	_	_	_	_
безграмотный	_	A	B2	LM	2	безграмотный	Nom.Masc.Sing	_	_	_	_
безграничный	_	A	B2	LM	1	безграничные	Inan.Acc.Plur	_	_	_	_
безграничный	_	A	B2	LM	2	безграничными	Ins.Plur	_	_	_	_
безграничный	_	A	B2	LM	3	безграничный	Nom.Masc.Sing	_	_	_	_
бездарный	_	A	B2	LM	1	бездарного	Gen.Masc.Sing	_	_	_	_
бездарный	_	A	B2	LM	2	бездарная	Nom.Fem.Sing	_	_	_	_
бездарный	_	A	B2	LM	3	бездарный	Nom.Masc.Sing	_	_	_	_
бездействовать	_	A	B2	LM	1	бездействующих	Gen.Plur	_	_	_	_
бездельничать	_	V	B2	LM	1	бездельничать	Inf	_	_	_	_
бездельничать	_	V	B2	LM	2	бездельничали	Plur.Past	_	_	_	_
бездельничать	_	V	B2	LM	3	бездельничал	Masc.Sing.Past	_	_	_	_
бездушный	_	A	B2	LM	1	бездушна	Fem.Sing	_	_	_	_
беззаботный	_	A	B2	LM	1	беззаботный	Nom.Masc.Sing	_	_	_	_
беззаботный	_	A	B2	LM	2	беззаботной	Gen.Fem.Sing	_	_	_	_
беззаботный	_	A	B2	LM	3	беззаботное	Nom.Neut.Sing	_	_	_	_
беззащитный	_	A	B2	LM	1	беззащитными	Ins.Plur	_	_	_	_
беззащитный	_	A	B2	LM	2	беззащитным	Ins.Neut.Sing	_	_	_	_
беззащитный	_	A	B2	LM	3	беззащитный	Nom.Masc.Sing	_	_	_	_
безличный	_	A	B2	LM	1	безличное	Nom.Neut.Sing	_	_	_	_
безлюдный	_	A	B2	LM	1	безлюдно	Neut.Sing	_	_	_	_
безлюдный	_	A	B2	LM	2	безлюден	Masc.Sing	_	_	_	_
безнадежный	_	A	B2	LM	1	безнадежно	Neut.Sing	_	_	_	_
безнадежный	_	A	B2	LM	2	безнадёжных	Gen.Plur	_	_	_	_
безнадежный	_	A	B2	LM	3	безнадёжными	Ins.Plur	_	_	_	_
безобразный	_	A	B2	LM	1	безобразный	Nom.Masc.Sing	_	_	_	_
безобразный	_	A	B2	LM	2	безобразна	Fem.Sing	_	_	_	_
безобразный	_	A	B2	LM	3	безобразное	Nom.Neut.Sing	_	_	_	_
безопасность	_	N.Fem.Inan	B2	LM	1	безопасности	Gen.Sing	_	_	_	_
безопасность	_	N.Fem.Inan	B2	LM	2	безопасность	Nom.Sing	_	_	_	_
безопасность	_	N.Fem.Inan	B2	LM	3	безопасностью	Ins.Sing	_	_	_	_
безопасный	_	A	B2	LM	1	безопасного	Gen.Neut.Sing	_	_	_	_
безопасный	_	A	B2	LM	2	безопасный	Nom.Masc.Sing	_	_	_	_
безопасный	_	A	B2	LM	3	безопасные	Nom.Plur	_	_	_	_
безработица	_	N.Fem.Inan	B2	LM	1	безработицы	Gen.Sing	_	_	_	_
безработица	_	N.Fem.Inan	B2	LM	2	безработица	Nom.Sing	_	_	_	_
безработица	_	N.Fem.Inan	B2	LM	3	безработице	Dat.Sing	_	_	_	_
безработный	_	N.Masc.Anim	B2	LM, Поехали	1	безработных	Gen.Plur	_	_	_	_
безработный	_	A	B2	LM, Поехали	2	безработная	Nom.Fem.Sing	_	_	_	_
безработный	_	N.Masc.Anim	B2	LM, Поехали	3	безработным	Dat.Plur	_	_	_	_
бекон	_	N.Masc.Inan	B2	LM	1	бекона	Gen.Sing	_	_	_	_
белеть	_	V	B2	LM	1	белели	Plur.Past	_	_	_	_
белеть	_	V	B2	LM	2	белея	Pres/Fut	_	_	_	_
белеть	_	A	B2	LM	3	белеющих	Gen.Plur	_	_	_	_
белка	_	N.Fem.Anim	B2	LM	1	белки	Nom.Plur	_	_	_	_
белка	_	N.Fem.Anim	B2	LM	2	белок	Gen.Plur	_	_	_	_
белка	_	N.Fem.Anim	B2	LM	3	белке	Dat.Sing	_	_	_	_
белок	_	N.Masc.Inan	B2	LM	1	белков	Gen.Plur	_	_	_	_
белок	_	N.Masc.Inan	B2	LM	2	белка	Gen.Sing	_	_	_	_
белок	_	N.Masc.Inan	B2	LM	3	белок	Nom.Sing	_	_	_	_
белорус	_	N.Masc.Anim	B2	LM, МН	1	белорусы	Nom.Plur	_	_	_	_
белорус	_	N.Masc.Anim	B2	LM, МН	2	белоруссы	Nom.Plur	_	_	_	_
бельгийка	_	N.Fem.Anim	B2	LM	1	бельгийки	Gen.Sing	_	_	_	_
бельгийка	_	N.Fem.Anim	B2	LM	2	бельгийка	Nom.Sing	_	_	_	_
белье	_	N.Neut.Inan	B2	LM	1	бельё	Acc.Sing	_	_	_	_
белье	_	N.Neut.Inan	B2	LM	2	бельём	Ins.Sing	_	_	_	_
